# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.39992957651412864
# n_degenerate 4
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3 mass4
7.793248373075363500e-02 -4.318910696719410192e-01 4.318910696719410192e-01 -7.917955593934921099e-01 4.765225664833852570e-01 4.765203940616063449e-01 3.027377036274219724e-01 3.027382405188727699e-01
7.793248373075363500e-02 4.318910696719410192e-01 -4.318910696719410192e-01 -7.917955593934921099e-01 4.765226184179281455e-01 4.765199849308277558e-01 3.027378542075185863e-01 3.027384420653210229e-01
7.793248373075363500e-02 -4.318910696719410192e-01 -4.318910696719410192e-01 -7.917955593934921099e-01 4.765179398481999007e-01 4.765252361619277677e-01 3.027397910742631870e-01 3.027364304870973633e-01
7.793248373075363500e-02 -4.318910696719410192e-01 7.917955593934921099e-01 4.318910696719410192e-01 4.765185430078615614e-01 4.765161263207819964e-01 3.027394359196810547e-01 3.027399185013338601e-01
7.793248373075363500e-02 4.318910696719410192e-01 -7.917955593934921099e-01 4.318910696719410192e-01 4.765200140430132514e-01 4.765149651073117276e-01 3.027387142042716195e-01 3.027404880985441471e-01
7.793248373075363500e-02 4.318910696719410192e-01 7.917955593934921099e-01 -4.318910696719410192e-01 4.765187426986798314e-01 4.765162565971320374e-01 3.027393926938154456e-01 3.027398468962488876e-01
7.793248373075363500e-02 -4.318910696719410192e-01 -7.917955593934921099e-01 4.318910696719410192e-01 4.765187426986798314e-01 4.765162565971320374e-01 3.027393926938154456e-01 3.027398468962488876e-01
7.793248373075363500e-02 -4.318910696719410192e-01 7.917955593934921099e-01 -4.318910696719410192e-01 4.765200140430132514e-01 4.765149651073117276e-01 3.027387142042716195e-01 3.027404880985441471e-01
7.793248373075363500e-02 4.318910696719410192e-01 -7.917955593934921099e-01 -4.318910696719410192e-01 4.765185430078615614e-01 4.765161263207819964e-01 3.027394359196810547e-01 3.027399185013338601e-01
7.793248373075363500e-02 -4.318910696719410192e-01 -7.917955593934921099e-01 -4.318910696719410192e-01 4.765140310717200789e-01 4.765209031872527645e-01 3.027413093178022985e-01 3.027380724457424122e-01
7.793248373075363500e-02 4.318910696719410192e-01 7.917955593934921099e-01 4.318910696719410192e-01 4.765140310717200789e-01 4.765209031872527645e-01 3.027413093178022985e-01 3.027380724457424122e-01
7.793248373075363500e-02 7.917955593934921099e-01 4.318910696719410192e-01 4.318910696719410192e-01 4.765144571820586483e-01 4.765210824387255961e-01 3.027413126633274887e-01 3.027379196865653266e-01
7.793248373075363500e-02 -7.917955593934921099e-01 4.318910696719410192e-01 4.318910696719410192e-01 4.765204169446082272e-01 4.765150751767016080e-01 3.027387535762762760e-01 3.027404583243579750e-01
