# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.5109478137187771
# n_degenerate 3
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3
7.939343745253053808e-02 3.007935951377014860e-01 -6.743601460362764755e-01 -6.743601460362764755e-01 5.215153103504863719e-01 4.164786618738361423e-01 2.843181919728294260e-01
7.939343745253053808e-02 -3.007935951377014860e-01 -6.743601460362764755e-01 -6.743601460362764755e-01 5.215152998815241192e-01 4.164786599947266632e-01 2.843181930936857227e-01
7.793248373075363500e-02 4.318910696719410192e-01 4.318910696719410192e-01 7.917955593934921099e-01 6.695596979302562701e-01 3.231287682642984826e-01 3.079456576521867883e-01
7.793248373075363500e-02 -4.318910696719410192e-01 4.318910696719410192e-01 7.917955593934921099e-01 6.695597011511573715e-01 3.231287682532559269e-01 3.079456585516007761e-01
7.793248373075363500e-02 4.318910696719410192e-01 -4.318910696719410192e-01 7.917955593934921099e-01 6.695597041141335692e-01 3.231287684143782091e-01 3.079456593265640918e-01
7.793248373075363500e-02 4.318910696719410192e-01 4.318910696719410192e-01 -7.917955593934921099e-01 6.695596818501948766e-01 3.231287684011271977e-01 3.079456574794179891e-01
7.793248373075363500e-02 -4.318910696719410192e-01 -4.318910696719410192e-01 7.917955593934921099e-01 6.695596818501948766e-01 3.231287684011271977e-01 3.079456574794179891e-01
7.793248373075363500e-02 -4.318910696719410192e-01 4.318910696719410192e-01 -7.917955593934921099e-01 6.695597041141335692e-01 3.231287684143782091e-01 3.079456593265640918e-01
7.793248373075363500e-02 4.318910696719410192e-01 -4.318910696719410192e-01 -7.917955593934921099e-01 6.695597011511573715e-01 3.231287682532559269e-01 3.079456585516007761e-01
7.793248373075363500e-02 -4.318910696719410192e-01 -4.318910696719410192e-01 -7.917955593934921099e-01 6.695596979302562701e-01 3.231287682642984826e-01 3.079456576521867883e-01
7.793248373075363500e-02 -4.318910696719410192e-01 7.917955593934921099e-01 4.318910696719410192e-01 6.695597077014820986e-01 3.231287725745022876e-01 3.079456567174702064e-01
7.793248373075363500e-02 4.318910696719410192e-01 -7.917955593934921099e-01 4.318910696719410192e-01 6.695597010913121316e-01 3.231287680406021434e-01 3.079456583290873795e-01
7.793248373075363500e-02 4.318910696719410192e-01 7.917955593934921099e-01 -4.318910696719410192e-01 6.695596986760049552e-01 3.231287717699217743e-01 3.079456567618658602e-01
7.793248373075363500e-02 -4.318910696719410192e-01 -7.917955593934921099e-01 4.318910696719410192e-01 6.695596986760049552e-01 3.231287717699217743e-01 3.079456567618658602e-01
7.793248373075363500e-02 -4.318910696719410192e-01 7.917955593934921099e-01 -4.318910696719410192e-01 6.695597010913121316e-01 3.231287680406021434e-01 3.079456583290873795e-01
7.793248373075363500e-02 4.318910696719410192e-01 -7.917955593934921099e-01 -4.318910696719410192e-01 6.695597077014820986e-01 3.231287725745022876e-01 3.079456567174702064e-01
7.793248373075363500e-02 -4.318910696719410192e-01 -7.917955593934921099e-01 -4.318910696719410192e-01 6.695596883678571754e-01 3.231287689472152613e-01 3.079456551577817169e-01
7.793248373075363500e-02 4.318910696719410192e-01 7.917955593934921099e-01 4.318910696719410192e-01 6.695596883678571754e-01 3.231287689472152613e-01 3.079456551577817169e-01
7.793248373075363500e-02 7.917955593934921099e-01 4.318910696719410192e-01 4.318910696719410192e-01 6.695596984796111650e-01 3.231287702653943827e-01 3.079456585035053595e-01
7.793248373075363500e-02 -7.917955593934921099e-01 4.318910696719410192e-01 4.318910696719410192e-01 6.695596891875696954e-01 3.231287704357923007e-01 3.079456571177892066e-01
7.793248373075363500e-02 7.917955593934921099e-01 -4.318910696719410192e-01 4.318910696719410192e-01 6.695596854569296763e-01 3.231287689611042624e-01 3.079456584764490024e-01
7.793248373075363500e-02 7.917955593934921099e-01 4.318910696719410192e-01 -4.318910696719410192e-01 6.695596830683845369e-01 3.231287702959207420e-01 3.079456581136166826e-01
7.793248373075363500e-02 -7.917955593934921099e-01 -4.318910696719410192e-01 4.318910696719410192e-01 6.695596830683845369e-01 3.231287702959207420e-01 3.079456581136166826e-01
7.793248373075363500e-02 -7.917955593934921099e-01 4.318910696719410192e-01 -4.318910696719410192e-01 6.695596854569296763e-01 3.231287689611042624e-01 3.079456584764490024e-01
7.793248373075363500e-02 7.917955593934921099e-01 -4.318910696719410192e-01 -4.318910696719410192e-01 6.695596891875696954e-01 3.231287704357923007e-01 3.079456571177892066e-01
7.793248373075363500e-02 -7.917955593934921099e-01 -4.318910696719410192e-01 -4.318910696719410192e-01 6.695596984796111650e-01 3.231287702653943827e-01 3.079456585035053595e-01
6.882781368562168600e-02 2.613931360335988163e-01 9.652324219764484292e-01 0.000000000000000000e+00 2.451220109738513120e+00 2.784771140490012731e-01 2.606790140608918338e-01
6.882781368562168600e-02 -2.613931360335988163e-01 9.652324219764484292e-01 0.000000000000000000e+00 2.451220153375480493e+00 2.784771172476344647e-01 2.606790164869215998e-01
6.882781368562168600e-02 2.613931360335988163e-01 -9.652324219764484292e-01 0.000000000000000000e+00 2.451220153375480493e+00 2.784771172476344647e-01 2.606790164869215998e-01
6.882781368562168600e-02 -2.613931360335988163e-01 -9.652324219764484292e-01 0.000000000000000000e+00 2.451220109738513120e+00 2.784771140490012731e-01 2.606790140608918338e-01
6.882781368562168600e-02 9.652324219764484292e-01 2.613931360335988163e-01 0.000000000000000000e+00 2.451220004474325975e+00 2.784771168936564512e-01 2.606790173803371080e-01
6.882781368562168600e-02 -9.652324219764484292e-01 2.613931360335988163e-01 0.000000000000000000e+00 2.451220007764537634e+00 2.784771178276466697e-01 2.606790151848238923e-01
6.882781368562168600e-02 9.652324219764484292e-01 -2.613931360335988163e-01 0.000000000000000000e+00 2.451220007764537634e+00 2.784771178276466697e-01 2.606790151848238923e-01
6.882781368562168600e-02 -9.652324219764484292e-01 -2.613931360335988163e-01 0.000000000000000000e+00 2.451220004474325975e+00 2.784771168936564512e-01 2.606790173803371080e-01
6.882781368562168600e-02 2.613931360335988163e-01 0.000000000000000000e+00 9.652324219764484292e-01 2.451220165864165690e+00 2.784771169157458925e-01 2.606790162599824101e-01
6.882781368562168600e-02 -2.613931360335988163e-01 0.000000000000000000e+00 9.652324219764484292e-01 2.451220146292345525e+00 2.784771196177673325e-01 2.606790166563994204e-01
